Login,First name,Last name,Routing profile,Security profile,Agent hierarchy,ACW timeout,Phone type,Auto accept calls,Desk phone number,Tags
"Cisaac","Chi","Isaac","SKK NewHire","Admin|Agent","","0 seconds","Soft phone","No","",""
"Indoh","Imma","Ndoh","SKK InfraSec","Agent","","0 seconds","Soft phone","No","",""
"Ivision","Imma","Vision","InterVision-TechSecDRB","Admin","","0 seconds","Soft phone","No","",""
"Jvision","John","Vision","InterVision-CloudServInfras","Agent","","0 seconds","Soft phone","No","",""
"Kndoh","Kira","Ndoh","SKK InfraCom","Admin|Agent","","0 seconds","Soft phone","No","",""
"Mvision","Mary","Vision","InterVision-HelpComGen","Agent","","0 seconds","Soft phone","No","",""
"Pvision","Peter","Vision","InterVision-SalesBilling","Agent","","0 seconds","Soft phone","No","",""
"Sndoh","Sky","Ndoh","SKK HRSale","Admin|Agent","","0 seconds","Soft phone","No","",""
"Vvision","Van","Vision","InterVersion-HQ","Agent","","0 seconds","Soft phone","No","",""
"Wndoh","Walters","Ndoh","SKK CommSec","Admin|Agent","","0 seconds","Soft phone","No","",""
"akyra","Kyra","Abi","KK SecComm","Agent","","0 seconds","Soft phone","No","",""
"lkira","Kira","Lum","KK CommSec","Agent","","0 seconds","Soft phone","No","",""
"sndoh","SKK","Ndoh","SKK CommSec","Admin","","0 seconds","Soft phone","No","",""
